title,link,tag,fixLink
C.A.S.T. по сети,https://online-fix.me/games/horror/17968-cast-po-seti.html,horror,https://uploads.online-fix.me:2053/uploads/CAST/Fix%20Repair/CAST_Fix_Repair_Steam_Generic.rar
Cafemart Simulator по сети,https://online-fix.me/games/simulator/17735-cafemart-simulator-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Cafemart%20Simulator/Fix%20Repair/CafemartSimulator_Fix_Repair_Steam_Generic.rar
Cake Bash по сети,https://online-fix.me/games/adventures/16501-cake-bash-po-seti.html,adventures,https://uploads.online-fix.me:2053/uploads/Cake%20Bash/Fix%20Repair/CB_Fix_Repair_Steam_Generic.rar
Call of the Wild The Angler по сети,https://online-fix.me/games/simulator/17093-call-of-the-wild-the-angler-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Call%20of%20the%20Wild%20The%20Angler/Fix%20Repair/CotWTA_Fix_Repair_Epic_V2_Generic.rar
Call to Arms Gates of Hell Ostfront по сети,https://online-fix.me/games/strategy/16651-call-to-arms-gates-of-hell-ostfront-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20to%20Arms%20Gates%20of%20Hell%20Ostfront/Fix%20Repair/CtAGoHO_Fix_Repair_Steam_Generic.rar
Call To Arms Panzer Elite по сети,https://online-fix.me/games/simulator/17906-call-to-arms-panzer-elite-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Call%20To%20Arms%20Panzer%20Elite/Fix%20Repair/CallToArmsPanzerElite_Fix_Repair_Steam_Generic.rar
Call To Arms по сети,https://online-fix.me/games/strategy/16490-call-to-arms-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20To%20Arms/Fix%20Repair/CTA_Fix_Repair_Steam.rar
Cannibal Crossing по сети,https://online-fix.me/games/shooter/16629-cannibal-crossing-po-seti.html,shooter,https://uploads.online-fix.me:2053/uploads/Cannibal%20Crossing/Fix%20Repair/CC_Fix_Repair_Steam_Generic.rar
Cant Drive This по сети,https://online-fix.me/games/racing/16225-cant-drive-this-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Cant%20Drive%20This/Fix%20Repair/CDT_Fix_Repair_Steam_V2_Generic.rar
Capcom Fighting Collection 2 по сети,https://online-fix.me/games/fighting/17772-capcom-fighting-collection-2-po-seti.html,fighting,https://uploads.online-fix.me:2053/uploads/Capcom%20Fighting%20Collection%202/Fix%20Repair/CapcomFightingCollection2_Fix_Repair_Steam_Generic.rar
Capote по сети,https://online-fix.me/games/simulator/18016-capote-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Capote/Fix%20Repair/Capote_Fix_Repair_Steam_Generic.rar
Car For Sale Simulator 2023 по сети,https://online-fix.me/games/sandbox/17457-car-for-sale-simulator-2023-po-seti.html,sandbox,https://uploads.online-fix.me:2053/uploads/Car%20For%20Sale%20Simulator%202023/Fix%20Repair/CFSS2023_Fix_Repair_Steam_Generic.rar
Car Service Together по сети,https://online-fix.me/games/simulator/18004-car-service-together-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Car%20Service%20Together/Fix%20Repair/CarServiceTogether_Fix_Repair_Steam_V2_Generic.rar
Caravanners по сети,https://online-fix.me/games/adventures/17928-caravanners-po-seti.html,adventures,https://uploads.online-fix.me:2053/uploads/Caravanners/Fix%20Repair/Caravanners_Fix_Repair_Steam_Generic.rar
Carcassonne Tiles & Tactics по сети,https://online-fix.me/games/strategy/17289-carcassonne-tiles-tactics-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Carcassonne%20Tiles%20%26%20Tactics/Fix%20Repair/CTT_Fix_Repair_Steam_Generic.rar
Card Shop Simulator Multiplayer по сети,https://online-fix.me/games/simulator/17808-card-shop-simulator-multiplayer-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Card%20Shop%20Simulator%20Multiplayer/Fix%20Repair/CardShopSimulatorMultiplayer_Fix_Repair_Steam_Generic.rar
Cardfight!! Vanguard Dear Days 2 по сети,https://online-fix.me/games/adventures/17685-cardfight-vanguard-dear-days-2-po-seti.html,adventures,https://uploads.online-fix.me:2053/uploads/Cardfight%21%21%20Vanguard%20Dear%20Days%202/Fix%20Repair/CardfightVanguardDearDays2_Fix_Repair_Steam_Generic.rar
Carrier Command 2 по сети,https://online-fix.me/games/simulator/16680-carrier-command-2-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Carrier%20Command%202/Fix%20Repair/CC2_Fix_Repair_Steam_Generic.rar
Carry The Glass по сети,https://online-fix.me/games/arcade/17630-carry-the-glass-po-seti.html,arcade,https://uploads.online-fix.me:2053/uploads/Carry%20The%20Glass/Fix%20Repair/CarryTheGlass_Fix_Repair_Steam_Generic.rar
CarX Street по сети,https://online-fix.me/games/officialservers/17579-carx-street-po-seti.html,officialservers,https://uploads.online-fix.me:2053/uploads/CarX%20Street/Fix%20Repair/
Cascadia по сети,https://online-fix.me/games/officialservers/18019-cascadia-po-seti.html,officialservers,https://uploads.online-fix.me:2053/uploads/Cascadia/Fix%20Repair/Cascadia_Fix_Repair_Steam_Generic.rar
CASE 2 Animatronics Survival по сети,https://online-fix.me/games/horror/16404-case-2-animatronics-survival-po-seti.html,horror,https://uploads.online-fix.me:2053/uploads/CASE%202%20Animatronics%20Survival/Fix%20Repair/C2AS_Fix_Repair_Steam_Generic.rar
CashGrab Refunded по сети,https://online-fix.me/games/officialservers/17830-cashgrab-refunded-po-seti.html,officialservers,https://uploads.online-fix.me:2053/uploads/CashGrab%20Refunded/Fix%20Repair/CashGrabRefunded_Fix_Repair_Steam_Generic.rar
Castle Crashers по сети,https://online-fix.me/games/arcade/16171-castle-crashers-po-seti.html,arcade,https://uploads.online-fix.me:2053/uploads/Castle%20Crashers/Fix%20Repair/CastleCrashers_Fix_Repair_Steam_V3_Generic.rar
Castle Story по сети,https://online-fix.me/games/strategy/16366-castle-story-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Castle%20Story/Fix%20Repair/CS_Fix_Repair_Steam_Generic.rar
Cat Quest II по сети,https://online-fix.me/games/arcade/16206-cat-quest-ii-po-seti.html,arcade,https://uploads.online-fix.me:2053/uploads/Cat%20Quest%20II/Fix%20Repair/CQII_Fix_Repair_Steam_V2_Generic.rar
