title,link,tag,fixLink
Brain Show Party Quiz по сети,https://online-fix.me/games/puzzles/17447-brain-show-party-quiz-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Brain%20Show%20Party%20Quiz/Fix%20Repair/BSPQ_Fix_Repair_Steam.rar
Buckshot Roulette по сети,https://online-fix.me/games/puzzles/17621-buckshot-roulette-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Buckshot%20Roulette/Fix%20Repair/BuckshotRoulette_Fix_Repair_Steam_Generic.rar
Bullet Roulette VR по сети,https://online-fix.me/games/puzzles/16900-bullet-roulette-vr-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Bullet%20Roulette%20VR/Fix%20Repair/BRVR_Fix_Repair_Steam_Generic.rar
Death Squared по сети,https://online-fix.me/games/puzzles/16738-death-squared-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Death%20Squared/Fix%20Repair/Death_Squared_Fix_Repair_Steam_Generic.rar
Escape Academy по сети,https://online-fix.me/games/puzzles/17042-escape-academy-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Escape%20Academy/Fix%20Repair/EscapeAcademy_Fix_Repair_Steam_Generic.rar
Escape First Alchemist по сети,https://online-fix.me/games/puzzles/17231-escape-first-alchemist-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Escape%20First%20Alchemist/Fix%20Repair/EFA_Fix_Repair_Steam_Generic.rar
Escape from Kyoto House по сети,https://online-fix.me/games/puzzles/17561-escape-from-kyoto-house-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Escape%20from%20Kyoto%20House/Fix%20Repair/EfKH_Fix_Repair_Steam_Generic.rar
Escape Memoirs Mansion Heist по сети,https://online-fix.me/games/puzzles/17137-escape-memoirs-mansion-heist-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Escape%20Memoirs%20Mansion%20Heist/Fix%20Repair/EMMH_Fix_Repair_Steam_Generic.rar
Escape Memoirs Safe House по сети,https://online-fix.me/games/puzzles/17612-escape-memoirs-safe-house-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Escape%20Memoirs%20Safe%20House/Fix%20Repair/EMSH_Fix_Repair_Steam_Generic.rar
Exit Together по сети,https://online-fix.me/games/puzzles/17972-exit-together-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Exit%20Together/Fix%20Repair/ExitTogether_Fix_Repair_Steam_Generic.rar
First Class Escape 2 Head in the Clouds по сети,https://online-fix.me/games/puzzles/17053-first-class-escape-2-head-in-the-clouds-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/First%20Class%20Escape%202%20Head%20in%20the%20Clouds/Fix%20Repair/FCE2HITC_Fix_Repair_Steam_Generic.rar
First Class Escape The Train of Thought по сети,https://online-fix.me/games/puzzles/17001-first-class-escape-the-train-of-thought-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/First%20Class%20Escape%20The%20Train%20of%20Thought/Fix%20Repair/FCETToT_Fix_Repair_Steam_Generic.rar
Fizz Quiz по сети,https://online-fix.me/games/puzzles/18010-fizz-quiz-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Fizz%20Quiz/Fix%20Repair/FizzQuiz_Fix_Repair_Steam_Generic.rar
Guilty as Sock! по сети,https://online-fix.me/games/puzzles/17782-guilty-as-sock-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Guilty%20as%20Sock%21/Fix%20Repair/GuiltyAsSock%21_Fix_Repair_Steam_Generic.rar
INVERSUS Deluxe по сети,https://online-fix.me/games/puzzles/16657-inversus-deluxe-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/INVERSUS%20Deluxe/Fix%20Repair/INVERSUSD_Fix_Repair_Steam.rar
KeyWe по сети,https://online-fix.me/games/puzzles/16803-keywe-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/KeyWe/Fix%20Repair/KeyWe_Fix_Repair_Steam_Generic.rar
Mad Experiments 2 Escape Room по сети,https://online-fix.me/games/puzzles/17183-mad-experiments-2-escape-room-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Mad%20Experiments%202%20Escape%20Room/Fix%20Repair/ME2ER_Fix_Repair_Steam_Generic.rar
Mad Experiments Escape Room по сети,https://online-fix.me/games/puzzles/16574-mad-experiments-escape-room-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Mad%20Experiments%20Escape%20Room/Fix%20Repair/MEER_Fix_Repair_Steam_Generic.rar
Observe and Report по сети,https://online-fix.me/games/puzzles/17553-observe-and-report-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Observe%20and%20Report/Fix%20Repair/OaR_Fix_Repair_Steam_Generic.rar
PICO PARK 2 по сети,https://online-fix.me/games/puzzles/17585-pico-park-2-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/PICO%20PARK%202/Fix%20Repair/PP2_Fix_Repair_Steam_Generic.rar
PICO PARK по сети,https://online-fix.me/games/puzzles/16678-pico-park-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/PICO%20PARK/Fix%20Repair/PICOPARK_Fix_Repair_Steam_Generic.rar
Puyo Puyo Champions по сети,https://online-fix.me/games/puzzles/16696-puyo-puyo-champions-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Puyo%20Puyo%20Champions/Fix%20Repair/PPC_Fix_Repair_Steam_Generic.rar
Puzzle Compound по сети,https://online-fix.me/games/puzzles/17285-puzzle-compound-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Puzzle%20Compound/Fix%20Repair/PuzzleCompound_Fix_Repair_Steam_Generic.rar
Railroader по сети,https://online-fix.me/games/puzzles/17415-railroader-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Railroader/Fix%20Repair/Railroader_Fix_Repair_Steam_V2_Generic.rar
Rescue Party Live по сети,https://online-fix.me/games/puzzles/16955-rescue-party-live-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Rescue%20Party%20Live/Fix%20Repair/RPL_Fix_Repair_Epic_Generic.rar
S.E.M.I. - Side Effects May Include по сети,https://online-fix.me/games/puzzles/18023-semi-side-effects-may-include-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/S.E.M.I.%20-%20Side%20Effects%20May%20Include/Fix%20Repair/SEMISideEffectsMayInclude_Fix_Repair_Steam_Generic.rar
Shift Happens по сети,https://online-fix.me/games/puzzles/17033-shift-happens-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Shift%20Happens/Fix%20Repair/SH_Fix_Repair_Steam_Generic.rar
SOS OPS! по сети,https://online-fix.me/games/puzzles/17399-sos-ops-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/SOS%20OPS%21/Fix%20Repair/SOS_OPS_Fix_Repair_Steam_Generic.rar
SUPER CRAZY RHYTHM CASTLE по сети,https://online-fix.me/games/puzzles/17395-super-crazy-rhythm-castle-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/SUPER%20CRAZY%20RHYTHM%20CASTLE/Fix%20Repair/SCRC_Fix_Repair_Steam_Generic.rar
Superliminal по сети,https://online-fix.me/games/puzzles/16831-superliminal-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Superliminal/Fix%20Repair/Superliminal_Fix_Repair_Steam_Generic.rar
Suspects Mystery Mansion по сети,https://online-fix.me/games/puzzles/17072-suspects-mystery-mansion-po-seti.html,puzzles,https://uploads.online-fix.me:2053/uploads/Suspects%20Mystery%20Mansion/Fix%20Repair/SMM_Fix_Repair_Steam.rar
