title,link,tag,fixLink
Assetto Corsa Competizione по сети,https://online-fix.me/games/racing/16386-assetto-corsa-competizione-po-seti.html,racing,None
Assetto Corsa по сети,https://online-fix.me/games/racing/16392-assetto-corsa-po-seti.html,racing,None
BeamNG Drive по сети,https://online-fix.me/games/racing/16506-beamng-drive-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/BeamNG%20Drive/Fix%20Repair/BNGD_Fix_Repair_Steam_V5_Generic.rar
Blur по сети,https://online-fix.me/games/racing/16401-blur-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Blur/Fix%20Repair/
Cant Drive This по сети,https://online-fix.me/games/racing/16225-cant-drive-this-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Cant%20Drive%20This/Fix%20Repair/CDT_Fix_Repair_Steam_V2_Generic.rar
Circuit Superstars по сети,https://online-fix.me/games/racing/16808-circuit-superstars-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Circuit%20Superstars/Fix%20Repair/CircuitSuperstars_Fix_Repair_Steam_V2_Generic.rar
Crashday Redline Edition по сети,https://online-fix.me/games/racing/16788-crashday-redline-edition-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Crashday%20Redline%20Edition/Fix%20Repair/CRE_Fix_Repair_Steam_Generic.rar
Dakar Desert Rally по сети,https://online-fix.me/games/racing/17136-dakar-desert-rally-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Dakar%20Desert%20Rally/Fix%20Repair/DDR_Fix_Repair_Steam_Generic.rar
Descenders по сети,https://online-fix.me/games/racing/16379-descenders-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Descenders/Fix%20Repair/Descenders_Fix_Repair_Steam_V2_Generic.rar
DIRT 5 по сети,https://online-fix.me/games/racing/16962-dirt-5-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/DIRT%205/Fix%20Repair/Dirt5_Fix_Repair_GDK_V2_Generic.rar
DiRT Rally 2.0 по сети,https://online-fix.me/games/racing/16513-dirt-rally-20-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Dirt%20Rally%202.0/Fix%20Repair/DR20_Fix_Repair_Steam_Generic.rar
Distance по сети,https://online-fix.me/games/racing/16735-distance-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Distance/Fix%20Repair/Distance_Fix_Repair_Steam_Generic.rar
F1 2016 по сети,https://online-fix.me/games/racing/17941-f1-2016-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/F1%202016/Fix%20Repair/F12016_Fix_Repair_Steam.rar
F1 2019 по сети,https://online-fix.me/games/racing/16969-f1-2019-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/F1%202019/Fix%20Repair/F12019_Fix_Repair_GDK_Generic.rar
F1 RACE STARS по сети,https://online-fix.me/games/racing/16867-f1-race-stars-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/F1%20RACE%20STARS/Fix%20Repair/F1RS_Fix_Repair_Steam_Generic.rar
Fast and Furious Spy Racers Rise of Shifter по сети,https://online-fix.me/games/racing/16829-fast-and-furious-spy-racers-rise-of-shifter-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Fast%20and%20Furious%20Spy%20Racers%20Rise%20of%20SH1FT3R/Fix%20Repair/FAFSRROS_Fix_Repair_Steam_Generic.rar
FlatOut 2 по сети,https://online-fix.me/games/racing/16175-flatout-2-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/FlatOut%202/Fix%20Repair/
Fling to the Finish по сети,https://online-fix.me/games/racing/16744-fling-to-the-finish-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Fling%20to%20the%20Finish/Fix%20Repair/FTTF_Fix_Repair_Steam_Generic.rar
Forza Horizon 3 по сети,https://online-fix.me/games/racing/16948-forza-horizon-3-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Forza%20Horizon%203/Fix%20Repair/FH3_Fix_Repair_UWP_Generic.rar
Forza Horizon 4 по сети,https://online-fix.me/games/racing/16597-forza-horizon-4-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Forza%20Horizon%204/Fix%20Repair/FH4_Fix_Repair_Steam_V3_Generic.rar
Forza Horizon 5 по сети,https://online-fix.me/games/racing/16828-forza-horizon-5-po-seti.html,racing,https://uploads.online-fix.me:2053/uploads/Forza%20Horizon%205/Fix%20Repair/FH5_Fix_Repair_Steam_V10_Generic.rar
