title,link,tag,fixLink
Ace Combat 7 Skies Unknown по сети,https://online-fix.me/games/simulator/16790-ace-combat-7-skies-unknown-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/ACE%20COMBAT%207%20SKIES%20UNKNOWN/Fix%20Repair/AC7SU_Fix_Repair_Steam_Generic.rar
AirportSim по сети,https://online-fix.me/games/simulator/17363-airportsim-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/AirportSim/Fix%20Repair/AirportSim_Fix_Repair_Steam_Generic.rar
Alchemy Factory по сети,https://online-fix.me/games/simulator/17975-alchemy-factory-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Alchemy%20Factory/Fix%20Repair/AlchemyFactory_Fix_Repair_Steam_Generic.rar
American Truck Simulator по сети,https://online-fix.me/games/simulator/16642-american-truck-simulator-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/American%20Truck%20Simulator/Fix%20Repair/AmericanTruckSimulator_Fix_Repair_Steam_Generic.rar
Animal Shelter 2 по сети,https://online-fix.me/games/simulator/17826-animal-shelter-2-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Animal%20Shelter%202/Fix%20Repair/AnimalShelter2_Fix_Repair_Steam_Generic.rar
Avorion по сети,https://online-fix.me/games/simulator/16665-avorion-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Avorion/Fix%20Repair/Avorion_Fix_Repair_Steam_V2_Generic.rar
Bad Guys at School по сети,https://online-fix.me/games/simulator/16511-bad-guys-at-school-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Bad%20Guys%20at%20School/Fix%20Repair/BGaS_Fix_Repair_Steam_Generic.rar
Bakery Cafe Simulator по сети,https://online-fix.me/games/simulator/17860-bakery-cafe-simulator-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Bakery%20Cafe%20Simulator/Fix%20Repair/BakeryCafeSimulator_Fix_Repair_Steam_Generic.rar
Ball 3D Soccer Online по сети,https://online-fix.me/games/simulator/17103-ball-3d-soccer-online-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Ball%203D%20Soccer%20Online/Fix%20Repair/B3DSO_Fix_Repair_Steam.rar
Battle Cry of Freedom по сети,https://online-fix.me/games/simulator/16990-battle-cry-of-freedom-po-seti.html,simulator,https://uploads.online-fix.me:2053/uploads/Battle%20Cry%20of%20Freedom/Fix%20Repair/BCoF_Fix_Repair_Steam_Generic.rar
