title,link,tag,fixLink
100% Orange Juice по сети,https://online-fix.me/games/strategy/17396-100-orange-juice-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/100%25%20Orange%20Juice/Fix%20Repair/100OJ_Fix_Repair_Steam_Generic.rar
5D Chess With Multiverse Time Travel по сети,https://online-fix.me/games/strategy/16467-5d-chess-with-multiverse-time-travel-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/5D%20Chess%20With%20Multiverse%20Time%20Travel/Fix%20Repair/
9-Bit Armies A Bit Too Far по сети,https://online-fix.me/games/strategy/17469-9-bit-armies-a-bit-too-far-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/9-Bit%20Armies%20A%20Bit%20Too%20Far/Fix%20Repair/9BAABTF_Fix_Repair_Steam_Generic.rar
A Game of Thrones The Board Game Digital Edition по сети,https://online-fix.me/games/strategy/16549-a-game-of-thrones-the-board-game-digital-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/A%20Game%20of%20Thrones%20The%20Board%20Game%20Digital%20Edition/Fix%20Repair/AGoTTBGDE_Fix_Repair_Steam_Generic.rar
A House of Thieves по сети,https://online-fix.me/games/strategy/16658-a-house-of-thieves-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/A%20House%20of%20Thieves/Fix%20Repair/AHoT_Fix_Repair_Steam_Generic.rar
A Total War Saga THRONES OF BRITANNIA по сети,https://online-fix.me/games/strategy/17058-a-total-war-saga-thrones-of-britannia-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/A%20Total%20War%20Saga%20THRONES%20OF%20BRITANNIA/Fix%20Repair/ATWSToB_Fix_Repair_Steam_Generic.rar
Age of Darkness Final Stand по сети,https://online-fix.me/games/strategy/17684-age-of-darkness-final-stand-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Darkness%20Final%20Stand/Fix%20Repair/AgeOfDarknessFinalStand_Fix_Repair_Steam_V2_Generic.rar
Age of Empires Definitive Edition по сети,https://online-fix.me/games/strategy/16843-age-of-empires-definitive-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Empires%20Definitive%20Edition/Fix%20Repair/
Age of Empires II Definitive Edition по сети,https://online-fix.me/games/strategy/17017-age-of-empires-ii-definitive-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Empires%20II%20Definitive%20Edition/Fix%20Repair/
Age of Empires II по сети,https://online-fix.me/games/strategy/16519-age-of-empires-ii-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Empires%20II/Fix%20Repair/AoEII_Fix_Repair_Steam_Generic.rar
Age of Empires III Definitive Edition по сети,https://online-fix.me/games/strategy/16871-age-of-empires-iii-definitive-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Empires%20III%20Definitive%20Edition/Fix%20Repair/
Age of Empires IV по сети,https://online-fix.me/games/strategy/16818-age-of-empires-iv-po-seti.html,strategy,None
Age of Mythology Extended Edition по сети,https://online-fix.me/games/strategy/16516-age-of-mythology-extended-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Mythology%20Extended%20Edition/Fix%20Repair/AoMEE_Fix_Repair_Steam_Generic.rar
Age of Wonders 4 по сети,https://online-fix.me/games/strategy/17257-age-of-wonders-4-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Wonders%204/Fix%20Repair/AoW4_Fix_Repair_Steam_Generic.rar
Age of Wonders Planetfall по сети,https://online-fix.me/games/strategy/16447-age-of-wonders-planetfall-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Age%20of%20Wonders%20Planetfall/Fix%20Repair/AoWP_Fix_Repair_Steam_Generic.rar
Airships Conquer the Skies по сети,https://online-fix.me/games/strategy/16432-airships-conquer-the-skies-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Airships%20Conquer%20the%20Skies/Fix%20Repair/
Ancestors Legacy по сети,https://online-fix.me/games/strategy/16453-ancestors-legacy-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Ancestors%20Legacy/Fix%20Repair/AL_Fix_Repair_GOG_Generic.rar
Ancient Wars Sparta Definitive Edition по сети,https://online-fix.me/games/strategy/17164-ancient-wars-sparta-definitive-edition-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Ancient%20Wars%20Sparta%20Definitive%20Edition/Fix%20Repair/AWSDE_Fix_Repair_Steam_Generic.rar
Armello по сети,https://online-fix.me/games/strategy/16333-armello-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Armello/Fix%20Repair/
Ashes of the Singularity Escalation по сети,https://online-fix.me/games/strategy/16609-ashes-of-the-singularity-escalation-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Ashes%20of%20the%20Singularity%20Escalation/Fix%20Repair/AotSE_Fix_Repair_Steam_Generic.rar
Bang Bang Barrage по сети,https://online-fix.me/games/strategy/17898-bang-bang-barrage-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Bang%20Bang%20Barrage/Fix%20Repair/BangBangBarrage_Fix_Repair_Steam_Generic.rar
Battlefleet Gothic Armada 2 по сети,https://online-fix.me/games/strategy/17245-battlefleet-gothic-armada-2-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Battlefleet%20Gothic%20Armada%202/Fix%20Repair/BGA2_Fix_Repair_GDK_Generic.rar
Black Future 88 по сети,https://online-fix.me/games/strategy/16713-black-future-88-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Black%20Future%20%2788/Fix%20Repair/BF88_Fix_Repair_Steam_Generic.rar
Blood Bowl 2 по сети,https://online-fix.me/games/strategy/17161-blood-bowl-2-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Blood%20Bowl%202/Fix%20Repair/BB2_Fix_Repair_Steam_Generic.rar
Bloons TD 6 по сети,https://online-fix.me/games/strategy/16398-bloons-td-6-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Bloons%20TD%206/Fix%20Repair/BTD6_Fix_Repair_Steam_V3_Generic.rar
Call to Arms Gates of Hell Ostfront по сети,https://online-fix.me/games/strategy/16651-call-to-arms-gates-of-hell-ostfront-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20to%20Arms%20Gates%20of%20Hell%20Ostfront/Fix%20Repair/CtAGoHO_Fix_Repair_Steam_Generic.rar
Call To Arms по сети,https://online-fix.me/games/strategy/16490-call-to-arms-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Call%20To%20Arms/Fix%20Repair/CTA_Fix_Repair_Steam.rar
Carcassonne Tiles & Tactics по сети,https://online-fix.me/games/strategy/17289-carcassonne-tiles-tactics-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Carcassonne%20Tiles%20%26%20Tactics/Fix%20Repair/CTT_Fix_Repair_Steam_Generic.rar
Castle Story по сети,https://online-fix.me/games/strategy/16366-castle-story-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Castle%20Story/Fix%20Repair/CS_Fix_Repair_Steam_Generic.rar
CHESS CROWN по сети,https://online-fix.me/games/strategy/16860-chess-crown-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/CHESS%20CROWN/Fix%20Repair/CHESS_CROWN_Fix_Repair_Steam_Generic.rar
Circle Empires Rivals по сети,https://online-fix.me/games/strategy/16355-circle-empires-rivals-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Circle%20Empires%20Rivals/Fix%20Repair/CER_Fix_Repair_Steam_V3_Generic.rar
ClueCluedo The Classic Mystery Game по сети,https://online-fix.me/games/strategy/16632-cluecluedo-the-classic-mystery-game-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/ClueCluedo%20The%20Classic%20Mystery%20Game/Fix%20Repair/CCTCMG_Fix_Repair_Steam_V2_Generic.rar
ClueCluedo по сети,https://online-fix.me/games/strategy/17405-cluecluedo-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/ClueCluedo/Fix%20Repair/ClueCluedo_Fix_Repair_Steam_Generic.rar
Colony Siege по сети,https://online-fix.me/games/strategy/17126-colony-siege-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Colony%20Siege/Fix%20Repair/CS_Fix_Repair_Steam_Generic.rar
Commandos Origins по сети,https://online-fix.me/games/strategy/17753-commandos-origins-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Commandos%20Origins/Fix%20Repair/CommandosOrigins_Fix_Repair_Steam_Generic.rar
Company of Heroes 2 по сети,https://online-fix.me/games/strategy/17022-company-of-heroes-2-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Company%20of%20Heroes%202/Fix%20Repair/CoH2_Fix_Repair_GDK_Generic.rar
Cosmoteer Starship Architect and Commander по сети,https://online-fix.me/games/strategy/17339-cosmoteer-starship-architect-and-commander-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Cosmoteer%20Starship%20Architect%20and%20Commander/Fix%20Repair/CSAaC_Fix_Repair_Steam_Generic.rar
Creeper World 4 по сети,https://online-fix.me/games/strategy/16834-creeper-world-4-po-seti.html,strategy,https://uploads.online-fix.me:2053/uploads/Creeper%20World%204/Fix%20Repair/CW4_Fix_Repair_Steam_Generic.rar
