title,link,tag,fixLink
Arizona Sunshine 2 по сети,https://online-fix.me/games/vr/17409-arizona-sunshine-2-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Arizona%20Sunshine%202/Fix%20Repair/AS2_Fix_Repair_Steam_Generic.rar
Automobilista 2 по сети,https://online-fix.me/games/vr/16593-automobilista-2-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Automobilista%202/Fix%20Repair/Automobilista2_Fix_Repair_Steam_V2_Generic.rar
Beat Saber по сети,https://online-fix.me/games/vr/17167-beat-saber-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Beat%20Saber/Fix%20Repair/BS_Fix_Repair_Steam_V2_Generic.rar
Broken Edge по сети,https://online-fix.me/games/vr/17397-broken-edge-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Broken%20Edge/Fix%20Repair/BrokenEdge_Fix_Repair_Steam_Generic.rar
Creed Rise to Glory по сети,https://online-fix.me/games/vr/17470-creed-rise-to-glory-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Creed%20Rise%20to%20Glory/Fix%20Repair/CRtG_Fix_Repair_Steam_Generic.rar
Crossfire Sierra Squad по сети,https://online-fix.me/games/vr/17451-crossfire-sierra-squad-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Crossfire%20Sierra%20Squad/Fix%20Repair/CSS_Fix_Repair_Steam_Generic.rar
DAVIGO VR vs PC по сети,https://online-fix.me/games/vr/17398-davigo-vr-vs-pc-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/DAVIGO%20VR%20vs%20PC/Fix%20Repair/DVRvsPC_Fix_Repair_Steam_Generic.rar
Eleven Table Tennis VR по сети,https://online-fix.me/games/vr/16564-eleven-table-tennis-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Eleven%20Table%20Tennis%20VR/Fix%20Repair/ETTVR_Fix_Repair_Steam_V2_Generic.rar
Fruit Ninja VR 2 по сети,https://online-fix.me/games/vr/17957-fruit-ninja-vr-2-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Fruit%20Ninja%20VR%202/Fix%20Repair/FruitNinjaVR2_Fix_Repair_Steam_Generic.rar
Hellsweeper VR по сети,https://online-fix.me/games/vr/17358-hellsweeper-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Hellsweeper%20VR/Fix%20Repair/HVR_Fix_Repair_Steam_Generic.rar
Human Fall Flat VR по сети,https://online-fix.me/games/vr/17660-human-fall-flat-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Human%20Fall%20Flat%20VR/Fix%20Repair/HumanFallFlatVR_Fix_Repair_Steam_Generic.rar
Into the Radius 2 по сети,https://online-fix.me/games/vr/17567-into-the-radius-2-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Into%20the%20Radius%202/Fix%20Repair/ItR2_Fix_Repair_Steam_Generic.rar
Legendary Tales по сети,https://online-fix.me/games/vr/17006-legendary-tales-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Legendary%20Tales/Fix%20Repair/LT_Fix_Repair_Steam_Generic.rar
Phasmophobia по сети,https://online-fix.me/games/vr/16481-phasmophobia-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Phasmophobia/Fix%20Repair/Phasmophobia_Fix_Repair_Steam_V2_Generic.rar
REQUISITION VR по сети,https://online-fix.me/games/vr/17112-requisition-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Requisition%20VR/Fix%20Repair/
Sports Bar VR по сети,https://online-fix.me/games/vr/16565-sports-bar-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Sports%20Bar%20VR/Fix%20Repair/SBVR_Fix_Repair_Steam_Generic.rar
Trickster VR по сети,https://online-fix.me/games/vr/16902-trickster-vr-po-seti.html,vr,https://uploads.online-fix.me:2053/uploads/Trickster%20VR/Fix%20Repair/TVR_Fix_Repair_Steam_Generic.rar
